               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,             0.03858,            0.013905,            0.003701,              0.9538,             0.90373,             0.92372,             0.46498,            0.036244,            0.011286,            0.001956,           0.0065845,           0.0065845,           0.0065845
                  71,             0.03677,             0.01362,           0.0032619,             0.93323,             0.90027,              0.9111,             0.44444,            0.034092,            0.011521,           0.0020121,            0.006535,            0.006535,            0.006535
                  72,            0.036216,            0.012883,            0.003833,             0.95305,             0.89409,             0.90613,             0.44866,            0.034943,            0.011493,           0.0022561,           0.0064855,           0.0064855,           0.0064855
                  73,            0.035535,            0.013702,           0.0031001,               0.947,             0.89991,             0.90862,             0.45658,            0.034629,            0.011066,           0.0023801,            0.006436,            0.006436,            0.006436
                  74,            0.034682,            0.013262,           0.0031605,             0.95496,             0.88981,             0.91154,             0.47586,            0.036774,             0.01084,           0.0023789,           0.0063865,           0.0063865,           0.0063865
                  75,            0.037958,            0.012652,           0.0038508,             0.93315,             0.88557,             0.90832,             0.44219,            0.035381,             0.01106,           0.0022022,            0.006337,            0.006337,            0.006337
                  76,            0.036335,            0.013275,           0.0023101,             0.94194,             0.88512,             0.90891,             0.44126,            0.034085,            0.011219,           0.0021558,           0.0062875,           0.0062875,           0.0062875
                  77,            0.035568,             0.01299,            0.003187,             0.95145,              0.8619,             0.90895,             0.45979,            0.035266,            0.011129,           0.0022712,            0.006238,            0.006238,            0.006238
                  78,            0.036138,             0.01275,           0.0033174,              0.9461,             0.87807,              0.9155,             0.46391,            0.034481,            0.011011,           0.0023862,           0.0061885,           0.0061885,           0.0061885
                  79,            0.034328,            0.012787,           0.0029639,             0.92605,             0.90055,             0.91482,             0.46606,             0.03411,            0.010818,           0.0020891,            0.006139,            0.006139,            0.006139
                  80,            0.032721,            0.013267,           0.0036408,             0.95266,             0.89246,             0.92047,             0.45829,            0.034754,            0.011035,           0.0021857,           0.0060895,           0.0060895,           0.0060895
                  81,            0.033955,            0.013134,           0.0028238,             0.94881,             0.88668,             0.90974,             0.46013,            0.033141,            0.011023,           0.0022867,             0.00604,             0.00604,             0.00604
                  82,            0.036886,             0.01276,           0.0031295,             0.94276,              0.8874,             0.91476,             0.47505,            0.034409,            0.011046,           0.0022792,           0.0059905,           0.0059905,           0.0059905
                  83,            0.035913,            0.012835,           0.0025723,              0.9312,             0.89779,              0.9139,             0.45758,            0.033993,            0.011302,           0.0021132,            0.005941,            0.005941,            0.005941
                  84,            0.035264,            0.012733,           0.0038458,             0.93123,             0.89729,             0.91955,             0.46568,            0.035034,            0.011233,           0.0021865,           0.0058915,           0.0058915,           0.0058915
                  85,            0.035549,            0.012857,           0.0028619,             0.94705,             0.88098,             0.91176,             0.46338,            0.036317,            0.011281,           0.0022604,            0.005842,            0.005842,            0.005842
                  86,            0.036713,            0.012868,           0.0025475,             0.93295,             0.89917,             0.91551,              0.4715,            0.035601,            0.011181,            0.002445,           0.0057925,           0.0057925,           0.0057925
                  87,            0.035366,            0.012849,           0.0024835,             0.92473,             0.90037,             0.91718,             0.47289,            0.033501,            0.011218,           0.0026411,            0.005743,            0.005743,            0.005743
                  88,            0.034322,            0.013343,           0.0026692,             0.93042,              0.9016,             0.91981,             0.47044,            0.034507,            0.011029,           0.0025066,           0.0056935,           0.0056935,           0.0056935
                  89,            0.033951,             0.01263,           0.0029368,             0.90726,             0.85254,             0.89015,             0.44485,            0.037693,            0.016674,           0.0031482,            0.005644,            0.005644,            0.005644
                  90,            0.035993,            0.012854,           0.0023463,             0.94714,             0.89743,             0.92353,             0.47275,             0.03293,            0.010906,           0.0020706,           0.0055945,           0.0055945,           0.0055945
                  91,            0.034676,            0.012429,           0.0028189,             0.94014,             0.90702,             0.92496,             0.46248,            0.032891,            0.011209,           0.0019771,            0.005545,            0.005545,            0.005545
                  92,            0.032389,             0.01272,           0.0018158,             0.95105,              0.9104,              0.9191,             0.46648,            0.035358,            0.011158,           0.0019587,           0.0054955,           0.0054955,           0.0054955
                  93,            0.035349,            0.012797,           0.0022298,             0.95776,             0.88556,             0.91527,             0.45976,            0.034449,            0.011005,           0.0020494,            0.005446,            0.005446,            0.005446
                  94,            0.034844,            0.012708,           0.0029407,             0.94583,             0.88787,             0.91211,             0.44869,            0.033751,             0.01126,           0.0025187,           0.0053965,           0.0053965,           0.0053965
                  95,             0.03574,            0.012753,           0.0049377,             0.93915,             0.84854,             0.90304,             0.46416,            0.033457,            0.012159,           0.0030007,            0.005347,            0.005347,            0.005347
                  96,             0.03401,            0.013125,           0.0031911,             0.95085,             0.88531,             0.90748,             0.45759,            0.034434,            0.011535,           0.0026448,           0.0052975,           0.0052975,           0.0052975
                  97,            0.032142,            0.012518,           0.0031772,             0.94511,             0.89223,             0.91645,             0.46234,            0.033607,            0.011345,           0.0024687,            0.005248,            0.005248,            0.005248
                  98,            0.033023,            0.013272,           0.0031001,             0.91666,             0.90819,             0.91638,             0.45783,            0.031995,            0.011137,           0.0023994,           0.0051985,           0.0051985,           0.0051985
                  99,            0.033936,            0.012748,           0.0035977,             0.93408,             0.89214,             0.91679,             0.47082,            0.033239,            0.011401,           0.0026299,            0.005149,            0.005149,            0.005149
                 100,            0.030704,            0.012653,           0.0041041,             0.92972,             0.87911,             0.91016,             0.46165,            0.034994,            0.011564,           0.0023786,           0.0050995,           0.0050995,           0.0050995
                 101,            0.033971,            0.012661,           0.0021029,             0.94538,             0.89429,             0.90624,             0.46623,            0.033003,            0.011232,           0.0020804,             0.00505,             0.00505,             0.00505
                 102,            0.034773,            0.013095,            0.002922,             0.95261,             0.88192,             0.91392,             0.47281,             0.03227,            0.011135,           0.0020839,           0.0050005,           0.0050005,           0.0050005
                 103,            0.034785,            0.012522,           0.0044641,             0.94277,             0.88528,             0.91178,              0.4763,            0.033485,            0.011305,           0.0023623,            0.004951,            0.004951,            0.004951
                 104,            0.031377,            0.012913,           0.0023739,             0.94127,             0.89602,             0.91341,             0.47992,            0.032801,            0.011229,           0.0024424,           0.0049015,           0.0049015,           0.0049015
